Sport,NOC,Medaglie,Totale_Medaglie_Sport,Percentuale_Dominanza
Roque,USA,3,3,100.0
Aeronautics,SUI,1,1,100.0
Basque Pelota,ESP,2,2,100.0
Croquet,FRA,8,8,100.0
Racquets,GBR,10,10,100.0
Cricket,GBR,21,24,87.5
Motorboating,GBR,6,7,85.71
Golf,USA,41,58,70.69
Jeu De Paume,GBR,2,3,66.67
Lacrosse,CAN,36,60,60.0
Alpinism,GER,2,4,50.0
Table Tennis,CHN,104,228,45.61
Polo,GBR,30,67,44.78
Trampoline Gymnastics,CHN,5,12,41.67
Ice Hockey,USA,11,27,40.74
Badminton,CHN,83,216,38.43
Skateboarding,JPN,9,24,37.5
Figure Skating,GBR,10,27,37.04
Trampolining,CHN,11,30,36.67
Cycling Mountain Bike,SUI,4,11,36.36
Tug-Of-War,GBR,40,115,34.78
Swimming,USA,1206,3470,34.76
Softball,AUS,60,179,33.52
Artistic Swimming,CHN,21,63,33.33
Baseball,CUB,112,336,33.33
Baseball/Softball,JPN,39,117,33.33
Basketball,USA,389,1223,31.81
Rugby,FRA,49,162,30.25
Diving,USA,147,499,29.46
Beach Volleyball,BRA,28,96,29.17
Equestrian,GBR,25,88,28.41
Athletics,USA,1190,4429,26.87
Rhythmic Gymnastics,RUS,45,168,26.79
Synchronized Swimming,RUS,54,215,25.12
Surfing,BRA,3,12,25.0
Cycling BMX Freestyle,GBR,3,12,25.0
Cycling Road,NED,5,20,25.0
Cycling BMX Racing,FRA,3,12,25.0
Marathon Swimming,HUN,2,8,25.0
Triathlon,GBR,14,57,24.56
Cycling Track,GBR,41,168,24.4
Rugby Sevens,FIJ,53,230,23.04
Archery,KOR,90,413,21.79
Artistic Gymnastics,USA,26,128,20.31
Modern Pentathlon,HUN,40,198,20.2
Fencing,ITA,387,1923,20.12
Canoe Slalom,GER,6,30,20.0
Canoe Sprint,HUN,23,128,17.97
Hockey,NED,308,1738,17.72
Tennis,GBR,67,388,17.27
Judo,JPN,128,754,16.98
Art Competitions,GER,26,156,16.67
Sport Climbing,AUT,3,18,16.67
3x3 Basketball,ROC,8,48,16.67
Breaking,CAN,1,6,16.67
Water Polo,HUN,198,1213,16.32
Shooting,USA,207,1336,15.49
Equestrianism,GER,143,965,14.82
Cycling,GBR,182,1263,14.41
Volleyball,USA,158,1119,14.12
Canoeing,GER,163,1165,13.99
Gymnastics,URS,288,2256,12.77
Karate,TUR,4,32,12.5
Taekwondo,KOR,25,208,12.02
Rowing,USA,388,3233,12.0
Sailing,GBR,153,1319,11.6
Boxing,USA,118,1048,11.26
Handball,FRA,126,1247,10.1
Wrestling,USA,144,1440,10.0
Football,BRA,180,1827,9.85
Weightlifting,CHN,70,718,9.75
